Palabras;Anger;Anticipation;Disgust;Fear;Joy;Sadness;Surprise;Trust
adicional;0;0;0;0;0;0;0;0
apéndice;0;0;0;0;0;0;0;0
sumador;1;0;1;1;0;1;0;0
adiccion;0;0;0;0;0;0;0;0
adición;0;0;0;0;0;0;0;0
adicional;0;0;0;0;0;0;0;0
aditivo;0;0;0;0;0;0;0;0
dirección;0;0;0;0;0;0;0;0
destinatario;0;0;0;0;0;0;0;0
direcciones;0;1;0;0;0;0;0;0
adepto;0;0;0;0;0;0;0;0
NO TRANSLATION;0;0;0;0;0;0;0;0
adecuado;0;0;0;0;0;0;0;0
adherirse;0;0;0;0;0;0;0;0
adherencia;0;0;0;0;0;0;0;0
adherente;0;0;0;0;0;0;0;0
adhiriendo;0;0;0;0;0;0;0;1
adhesión;0;0;0;0;0;0;0;0
adhesivo;0;0;0;0;0;0;0;0
adiós;0;0;0;0;0;0;0;0
adiposo;0;0;0;0;0;0;0;0
proximidad;0;0;0;0;0;0;0;0
adyacente;0;0;0;0;0;0;0;0
adjetivo;0;0;0;0;0;0;0;0
contiguo;0;0;0;0;0;0;0;0
aplazar;0;0;0;0;0;0;0;0
aplazamiento;0;0;0;0;0;0;0;0
juzgar;0;0;0;1;0;0;0;0
adjudicación;0;0;0;0;0;0;0;0
adjunto;0;0;0;0;0;0;0;0
ajustar;0;0;0;0;0;0;0;0
ajuste;0;0;0;0;0;0;0;0
auxiliar;0;0;0;0;0;0;0;0
administrar;0;0;0;0;0;0;0;0
administración;0;0;0;0;0;0;0;0
administrativo;0;0;0;0;0;0;0;1
admirable;0;0;0;0;1;0;0;1
almirante;0;0;0;0;0;0;0;1
almirantazgo;0;0;0;0;0;0;0;0
admiración;0;0;0;0;1;0;0;1
admirar;0;0;0;0;0;0;0;1
admirador;0;0;0;0;0;0;0;0
admisibilidad;0;0;0;0;0;0;0;0
admisible;0;0;0;0;0;0;0;1
admisión;0;0;0;0;0;0;0;0
admitir;0;0;0;0;0;0;0;0
entrada;0;0;0;0;0;0;0;0
aceptado;0;0;0;0;0;0;0;0
admitir;0;0;0;0;0;0;0;0
mezcla;0;0;0;0;0;0;0;0
amonestación;0;0;0;1;0;0;0;0
alharaca;0;0;0;0;0;0;0;0
adobe;0;0;0;0;0;0;0;0
adolescencia;0;0;0;0;0;0;0;0
adolescente;0;0;0;0;0;0;0;0
adoptar;0;0;0;0;0;0;0;0
adopción;0;0;0;0;0;0;0;0
adorable;0;0;0;0;1;0;0;0
adoración;0;0;0;0;1;0;0;1
adorar;0;1;0;0;1;0;0;1
adornar;0;0;0;0;0;0;0;0
adorno;0;0;0;0;0;0;0;0
a la deriva;0;1;0;1;0;1;0;0
adulto;0;0;0;0;0;0;0;0
espurio;0;0;0;0;0;0;0;0
adulterio;0;0;1;0;0;1;0;0
avanzar;0;1;0;1;1;0;1;0
avanzado;0;0;0;0;0;0;0;0
adelanto;0;0;0;0;0;0;0;0
avanzando;0;0;0;0;0;0;0;0
ventaja;0;0;0;0;0;0;0;0
ventajoso;0;0;0;0;0;0;0;0
adviento;0;1;0;0;1;0;0;1
aventuras;0;1;0;0;0;0;0;0
aventurero;0;0;0;0;0;0;0;0
aventurero;0;0;0;0;0;0;0;0
adversario;1;0;0;0;0;0;0;0
adverso;1;0;1;1;0;1;0;0
adversidad;1;0;0;1;0;1;0;0
anunciar;0;0;0;0;0;0;0;0
anuncio;0;0;0;0;0;0;0;0
Consejo;0;0;0;0;0;0;0;1
aconsejable;0;0;0;0;0;0;0;1
asesorar;0;0;0;0;0;0;0;1
aconsejado;0;0;0;0;0;0;0;1
consejo;0;0;0;0;0;0;0;0
asesor;0;0;0;0;0;0;0;1
Abogacía;1;1;0;0;1;0;0;1
abogado;0;0;0;0;0;0;0;1
égida;0;0;0;0;0;0;0;0
aireación;0;0;0;0;0;0;0;0
aéreo;0;0;0;0;0;0;0;0
aeródromo;0;0;0;0;0;0;0;0
aerodinámica;0;0;0;0;0;0;0;0
aeronáutica;0;0;0;0;0;0;0;0
avión;0;0;0;0;0;0;0;0
estético;0;0;0;0;0;0;0;0
estética;0;0;0;0;1;0;0;0
NO TRANSLATION;0;0;0;0;0;0;0;0
lejos;0;0;0;0;0;0;0;0
afable;0;0;0;0;0;0;0;0
asunto;0;0;0;0;0;0;0;0
conmovedor;0;0;0;0;0;0;0;0
afecto;0;0;0;0;1;0;0;1
afectos;0;0;0;0;0;0;0;0
NO TRANSLATION;0;0;0;0;0;0;0;0
declaración jurada;0;0;0;0;0;0;0;0
asociado;0;0;0;0;0;0;0;0
afiliación;0;0;0;0;0;0;0;0
afinidad;0;0;0;0;0;0;0;0
afirmar;0;0;0;0;0;0;0;1
afirmación;0;0;0;0;0;0;0;0
afirmativo;0;0;0;0;0;0;0;0
afirmativamente;0;0;0;0;0;0;0;1
afijo;0;0;0;0;0;0;0;0
afligir;0;0;0;1;0;1;0;0
afligido;0;0;0;0;0;0;0;0
aflicción;0;0;1;1;0;1;0;0
afluencia;0;0;0;0;1;0;0;0
afluente;0;0;0;0;0;0;0;0
permitirse;0;0;0;0;0;0;0;0
afrenta;1;0;1;1;0;1;1;0
al campo;0;0;0;0;0;0;0;0
a proa;0;0;0;0;0;0;0;0
citado;0;0;0;0;0;0;0;0
antedicho;0;0;0;0;0;0;0;0
asustado;0;0;0;1;0;0;0;0
de nuevo;0;0;0;0;0;0;0;0
en popa;0;0;0;0;0;0;0;0
secuelas;1;0;1;1;0;1;0;0
tarde;0;0;0;0;0;0;0;0
regusto;0;0;0;0;0;0;0;0
idea tardía;0;0;0;0;0;0;0;0
NO TRANSLATION;0;0;0;1;0;0;0;1
ágata;0;0;0;0;0;0;0;0
años;0;0;0;0;0;0;0;0
Envejecido;0;0;0;0;0;0;0;0
agencia;0;0;0;0;0;0;0;0
agente;0;0;0;0;0;0;0;0
aglomeración;0;0;0;0;0;0;0;0
agravado;1;0;0;0;0;0;0;0
agravante;1;0;0;0;0;1;0;0
agravación;1;0;1;0;0;0;0;0
agregar;0;0;0;0;0;0;0;0
agregación;0;0;0;0;0;0;0;0
agresión;1;0;0;1;0;0;0;0
agresivo;1;0;0;1;0;0;0;0
agresor;1;0;0;1;0;0;0;0
espantado;0;0;1;1;0;0;1;0
ágil;0;0;0;0;0;0;0;0
agilidad;0;0;0;0;0;0;0;0
agitado;1;0;0;0;0;0;0;0
agitación;1;0;0;0;0;0;0;0
agnóstico;0;0;0;0;0;0;0;0
hace;0;0;0;0;0;0;0;0
agonizante;0;0;0;1;0;0;0;0
agonía;1;0;0;1;0;1;0;0
de acuerdo;0;0;0;0;0;0;0;0
agradable;0;0;0;0;0;0;0;1
convenido;0;0;0;0;0;0;0;1
aceptando;0;0;0;0;0;0;0;1
acuerdo;0;0;0;0;0;0;0;1
agrícola;0;0;0;0;0;0;0;0
agricultura;0;0;0;0;0;0;0;0
encallado;0;0;0;0;0;0;0;0
NO TRANSLATION;0;0;0;0;0;0;0;0
adelante;0;0;0;0;0;0;0;0
ayuda;0;0;0;0;0;0;0;0
ayudando;0;0;0;0;0;0;0;0
afligir;0;0;0;0;0;1;0;0
enfermo;0;0;0;1;0;1;0;0
enfermedad;0;0;0;0;0;0;0;0
objetivo;0;0;0;0;0;0;0;0
sin objetivo;0;0;0;0;0;0;0;0
aire;0;0;0;0;0;0;0;0
airbag;0;0;0;0;0;0;0;0
puente aéreo;0;0;0;0;0;0;0;0
aerolínea;0;0;0;0;0;0;0;0
aviador;0;0;0;0;0;0;0;0
avión;0;0;0;0;0;0;0;0
aeropuerto;0;1;0;0;0;0;0;0
aires;0;0;1;0;0;0;0;0
dirigible;0;0;0;0;0;0;0;0
pasillo;0;0;0;0;0;0;0;0
NO TRANSLATION;0;0;0;0;0;0;0;0
NO TRANSLATION;0;0;0;0;0;0;0;0
parecido;0;0;0;0;0;0;0;1
alabastro;0;0;0;0;0;0;0;0
alarma;0;0;0;1;0;0;1;0
alarmante;0;0;0;1;0;0;1;0
NO TRANSLATION;0;0;0;0;0;0;0;1
álbum;0;0;0;0;0;0;0;0
alquimia;0;0;0;0;0;0;0;0
alcohol;0;0;0;0;0;0;0;0
alcoholismo;1;0;1;1;0;1;0;0
hueco;0;0;0;0;0;0;0;0
alerta;0;0;0;0;0;0;0;0
vigilancia;0;1;0;1;0;0;1;0
alertas;0;1;0;1;0;0;1;0
alfalfa;0;0;0;0;0;0;0;0
álgebra;0;0;0;0;0;0;0;0
algebraico;0;0;0;0;0;0;0;0
algoritmo;0;0;0;0;0;0;0;0
coartada;0;0;0;0;0;0;0;0
extraterrestre;0;0;1;1;0;0;0;0
enajenar;1;0;1;0;0;0;0;0
alienado;0;0;0;0;0;1;0;0
alienación;1;0;1;1;0;1;0;0
posarse;0;0;0;0;0;0;0;0
alineado;0;0;0;0;0;0;0;0
alineación;0;0;0;0;0;0;0;0
igual;0;0;0;0;0;0;0;0
NO TRANSLATION;0;0;0;0;0;0;0;0
pensión alimenticia;0;0;0;0;0;0;0;0
alícuota;0;0;0;0;0;0;0;0
viva;0;1;0;0;1;0;0;1
álcali;0;0;0;0;0;0;0;0
alcaloides;0;0;0;0;0;0;0;0
aliviar;0;0;0;0;0;0;0;0
alegación;1;0;0;0;0;0;0;0
alegar;0;0;0;0;0;0;0;0
presunto;0;0;0;0;0;0;0;0
lealtad;0;0;0;0;0;0;0;1
alegórico;0;0;0;0;0;0;0;0
alegoría;0;0;0;0;0;0;0;0
alegro;0;0;0;0;0;0;0;0
aliviar;0;0;0;0;0;0;0;0
alivio;0;0;0;0;0;0;0;0
callejón;0;0;0;0;0;0;0;0
Alianza;0;0;0;0;0;0;0;1
aliado;0;0;0;0;0;0;0;1
caimán;0;0;0;0;0;0;0;0
asignar;0;0;0;0;0;0;0;0
asignación;0;0;0;0;0;0;0;0
asignar;0;0;0;0;0;0;0;0
asignación;0;0;0;0;0;0;0;0
admisible;0;0;0;0;0;0;0;0
tolerancia;0;0;0;0;0;0;0;0
permitido;0;0;0;0;0;0;0;0
aleación;0;0;0;0;0;0;0;0
seducir;0;1;0;0;1;0;1;0
seductor;0;0;0;0;0;0;0;0
alusión;0;0;0;0;0;0;0;0
aluvial;0;0;0;0;0;0;0;0
aliado;0;0;0;0;0;0;0;1
almanaque;0;0;0;0;0;0;0;0
todopoderoso;0;0;0;0;0;0;0;0
en alto;0;0;0;0;0;0;0;0
aloha;0;1;0;0;1;0;0;0
junto a;0;0;0;0;0;0;0;0
a distancia;0;0;0;0;0;0;0;0
en voz alta;0;0;0;0;0;0;0;0
alfabeto;0;0;0;0;0;0;0;0
alfabético;0;0;0;0;0;0;0;0
altar;0;0;0;0;0;0;0;0
alterar;0;0;0;0;0;0;0;0
modificación;0;0;0;0;0;0;0;0
altercado;1;0;0;0;0;0;0;0
alterado;0;0;0;0;0;0;0;0
alterno;0;0;0;0;0;0;0;0
alternativa;0;0;0;0;0;0;0;0
altitud;0;0;0;0;0;0;0;0
alto;0;0;0;0;0;0;0;0
en total;0;0;0;0;0;0;0;0
antiguo alumno;0;0;0;0;0;0;0;0
alveolar;0;0;0;0;0;0;0;0
amalgama;0;0;0;0;0;0;0;0
amalgamación;0;0;0;0;0;0;0;0
acumular;0;0;0;0;0;0;0;0
aficionado;0;0;0;0;0;0;0;0
asombro;0;0;0;0;0;0;1;0
asombro;0;0;0;0;0;0;0;0
espantosamente;0;0;0;0;1;0;1;0
embajador;0;0;0;0;0;0;0;1
ámbar;0;0;0;0;0;0;0;0
ambiente;0;0;0;0;0;0;0;0
ambigüedad;0;0;0;0;0;0;0;0
ambiguo;0;0;0;0;0;0;0;0
ámbito;0;0;0;0;0;0;0;0
ambición;0;1;0;0;1;0;0;1
ambicioso;0;0;0;0;0;0;0;0
ambulancia;0;0;0;1;0;0;0;1
emboscada;1;0;0;1;0;0;1;0
mejorar;0;0;0;0;0;0;0;0
Amén;0;0;0;0;1;0;0;1
dócil;0;0;0;0;0;0;0;0
enmendar;0;0;0;0;0;0;0;0
enmienda;0;0;0;0;0;0;0;0
compensación;0;0;0;0;0;0;0;0
amenidad;0;0;0;0;0;0;0;0
amatista;0;0;0;0;0;0;0;0
amable;0;0;0;0;0;0;0;0
amistoso;0;0;0;0;1;0;0;0
en medio de;0;0;0;0;0;0;0;0
en medio de;0;0;0;0;0;0;0;0
amoníaco;0;0;1;0;0;0;0;0
munición;0;0;0;0;0;0;0;0
amnesia;0;0;0;0;0;0;0;0
amnistía;0;0;0;0;1;0;0;0
amorfo;0;0;0;0;0;0;0;0
amortización;0;0;0;0;0;0;0;1
cantidad;0;0;0;0;0;0;0;0
NO TRANSLATION;0;1;0;0;1;0;0;1
ampersand;0;0;0;0;0;0;0;0
anfetaminas;0;0;1;0;0;0;0;0
anfibio;0;0;0;0;0;0;0;0
anfibio;0;0;0;0;0;0;0;0
anfiteatro;0;0;0;0;0;0;0;0
amplificación;0;0;0;0;0;0;0;0
amplificar;0;0;0;0;0;0;0;0
amplitud;0;0;0;0;0;0;0;0
NO TRANSLATION;0;0;0;0;0;0;0;0
amputación;0;0;0;0;0;0;0;0
amuleto;0;0;0;0;0;0;0;0
entretener;0;0;0;0;1;0;0;0
divertido;0;0;0;0;1;0;0;0
diversión;0;0;0;0;1;0;0;0
divertido;0;0;0;0;1;0;0;0
NO TRANSLATION;0;0;0;0;0;0;0;0
anaconda;0;0;1;1;0;0;0;0
anestesia;0;0;0;0;0;0;0;0
anestésico;0;0;0;0;0;0;0;0
anal;0;0;0;0;0;0;0;0
analgésico;0;0;0;0;0;0;0;0
análogo;0;0;0;0;0;0;0;0
término análogo;0;0;0;0;0;0;0;0
analogía;0;0;0;0;0;0;0;0
análisis;0;0;0;0;0;0;0;0
analista;0;1;0;0;0;0;0;1
analítico;0;0;0;0;0;0;0;0
analizar;0;0;0;0;0;0;0;0
analizador;0;0;0;0;0;0;0;0
anarquismo;1;0;0;1;0;0;0;0
anarquista;1;0;0;1;0;0;0;0
anarquía;1;0;0;1;0;0;0;0
anastomosis;0;0;0;0;0;0;0;0
anatema;1;0;1;1;0;1;0;0
anatómico;0;0;0;0;0;0;0;0
anatomía;0;0;0;0;0;0;0;0
antepasado;0;0;0;0;0;0;0;0
ancestral;0;0;0;0;0;0;0;1
ascendencia;0;0;0;0;0;0;0;0
ancla;0;0;0;0;0;0;0;0
anclaje;0;0;0;0;0;1;0;0
antiguo;0;0;0;0;0;0;0;0
auxiliar;0;0;0;0;0;0;0;0
andrógino;0;0;0;0;0;0;0;0
anémona;0;0;0;0;0;0;0;0
de nuevo;0;0;0;0;0;0;0;0
ángel;0;1;0;0;1;0;1;1
angelical;0;0;0;0;1;0;0;1
enfado;1;0;0;0;0;0;0;0
angina;0;0;0;1;0;0;0;0
angiografía;0;0;0;0;0;0;0;0
ángulo;0;0;0;0;0;0;0;0
pesca con caña;0;1;0;0;0;0;0;0
enojado;1;0;1;0;0;0;0;0
angustia;1;0;0;1;0;1;0;0
angular;0;0;0;0;0;0;0;0
anhidro;0;0;0;0;0;0;0;0
animal;0;0;0;0;0;0;0;0
animar;0;0;0;0;0;0;0;0
animado;0;0;0;0;1;0;0;0
animación;0;0;0;0;0;0;0;0
animosidad;1;0;1;1;0;1;0;0
ánimo;1;0;0;0;0;0;0;0
tobillo;0;0;0;0;0;0;0;0
anales;0;0;0;0;0;0;0;0
anexo;0;0;0;0;0;0;0;0
anexión;0;0;0;0;0;0;0;0
NO TRANSLATION;0;0;0;0;0;0;0;0
aniquilar;1;0;0;1;0;0;0;0
aniquilado;1;0;0;1;0;1;0;0
aniquilación;1;0;0;1;0;1;0;0
anotar;0;0;0;0;0;0;0;0
anotación;0;0;0;0;0;0;0;0
anunciar;0;0;0;0;0;0;0;0
anuncio;0;1;0;0;0;0;0;0
molestar;1;0;1;0;0;0;0;0
molestia;1;0;1;0;0;0;0;0
molesto;1;0;0;0;0;0;0;0
anualidad;0;0;0;0;0;0;0;0
anular;0;0;0;0;0;0;0;0
anular;0;0;0;0;0;0;0;0
anulación;0;0;0;0;0;1;0;0
anillo;0;0;0;0;0;0;0;0
unción;0;0;0;0;0;0;0;0
anómalo;0;0;0;0;0;0;0;0
anomalía;0;0;0;1;0;0;1;0
luego;0;0;0;0;0;0;0;0
anónimo;0;0;0;0;0;0;0;0
responder;0;0;0;0;0;0;0;0
responsable;0;0;0;0;0;0;0;1
respondiendo;0;0;0;0;0;0;0;0
hormiga;0;0;0;0;0;0;0;0
antagonismo;1;0;0;0;0;0;0;0
antagonista;1;0;0;0;0;0;0;0
antagonista;1;0;1;0;0;0;0;0
NO TRANSLATION;0;0;0;0;0;0;0;0
antecedente;0;0;0;0;0;0;0;0
antílope;0;0;0;0;0;0;0;0
antena;0;0;0;0;0;0;0;0
anterior;0;0;0;0;0;0;0;0
himno;0;0;0;0;0;0;0;0
antología;0;0;0;0;0;0;0;0
ántrax;0;0;1;1;0;1;0;0
antropología;0;0;0;0;0;0;0;0
antibiótico;0;0;0;0;0;0;0;0
antibióticos;0;0;0;0;0;0;0;0
antecristo;1;0;1;1;0;0;0;0
anticipación;0;1;0;0;0;0;0;0
anticipado;0;1;0;0;0;0;0;0
antídoto;0;1;0;0;0;0;0;1
antimicótico;0;0;0;0;0;0;0;1
antimonio;0;0;0;0;0;0;0;0
antipatía;1;0;1;0;0;0;0;0
anticuario;0;0;0;0;0;0;0;0
anticuado;0;0;0;0;0;0;0;0
antiguo;0;0;0;0;0;0;0;0
antigüedad;0;0;0;0;0;0;0;0
antiséptico;0;0;0;0;0;0;0;1
antisocial;1;0;1;1;0;1;0;0
antítesis;1;0;0;0;0;0;0;0
antitético;0;0;0;0;0;0;0;0
antivirulento;0;0;0;0;0;0;0;0
cuerno;0;0;0;0;0;0;0;0
yunque;0;0;0;0;0;0;0;0
ansiedad;1;1;0;1;0;1;0;0
ansioso;0;1;0;1;0;0;0;0
aorta;0;0;0;0;0;0;0;0
rápidamente;0;0;0;0;0;0;0;0
apache;0;0;0;1;0;0;0;0
apartamento;0;0;0;0;0;0;0;0
apático;0;0;0;0;0;1;0;0
apatía;0;0;0;0;0;1;0;0
mono;0;0;0;0;0;0;0;0
abertura;0;0;0;0;0;0;0;0
apéndice;0;0;0;0;0;0;0;0
áfido;0;0;1;0;0;0;0;0
una pieza;0;0;0;0;0;0;0;0
aplomo;0;0;0;0;0;0;0;0
apocalíptico;0;0;0;0;0;0;0;0
apologético;0;0;0;0;0;0;0;1
apologista;0;0;0;0;0;0;0;0
pedir disculpas;0;0;0;0;0;1;0;1
disculpa;0;0;0;0;0;0;0;0
apostasía;0;0;0;0;0;0;0;0
apóstata;0;0;0;0;0;0;0;0
apóstol;0;0;0;0;0;0;0;1
apostólico;0;0;0;0;0;0;0;1
apóstrofe;0;0;0;0;0;0;0;0
pésimo;0;0;1;1;0;0;0;0
aparato;0;0;0;0;0;0;0;0
vestir;0;0;0;0;0;0;0;0
aparentemente;0;0;0;0;0;0;0;0
aparición;0;0;0;1;0;0;1;0
apelación;0;1;0;0;0;0;0;0
apariencia;0;0;0;0;0;0;0;0
apaciguar;0;0;0;0;0;0;0;0
apelante;0;0;0;0;0;0;0;0
adjuntar;0;0;0;0;0;0;0;0
apéndice;0;0;0;0;0;0;0;0
apendicitis;0;0;0;1;0;1;0;0
apéndice;0;0;0;0;0;0;0;0
apetito;0;0;0;0;0;0;0;0
aperitivo;0;0;0;0;0;0;0;0
aplausos;0;0;0;0;1;0;1;1
manzana;0;0;0;0;0;0;0;0
aparato;0;0;0;0;0;0;0;0
accesorios;0;0;0;0;0;0;0;0
aplicabilidad;0;0;0;0;0;0;0;0
aplicable;0;0;0;0;0;0;0;0
solicitante;0;1;0;0;0;0;0;0
solicitud;0;0;0;0;0;0;0;0
aplicar;0;0;0;0;0;0;0;0
nombrar;0;0;0;0;0;0;0;0
cita;0;0;0;0;0;0;0;0
equipo;0;0;0;0;0;0;0;0
prorratear;0;0;0;0;0;0;0;0
prorrateo;0;0;0;0;0;0;0;0
evaluar;0;0;0;0;0;0;0;0
apreciable;0;0;0;0;0;0;0;0
apreciación;0;0;0;0;1;0;0;1
aprehender;0;0;0;1;0;0;0;0
detención;0;0;0;1;0;0;0;0
aprensivo;0;1;0;1;0;0;0;0
aprendiz;0;0;0;0;0;0;0;1
aprendizaje;0;0;0;0;0;0;0;0
enfoque;0;0;0;0;0;0;0;0
que se acerca;0;1;0;0;0;0;0;0
aprobación;0;0;0;0;0;0;0;1
apropiación;0;0;0;0;0;0;0;0
aprobación;0;0;0;0;0;0;0;0
aprobar;0;0;0;0;1;0;0;1
aprobatorio;0;0;0;0;0;0;0;0
aproximado;0;0;0;0;0;0;0;0
aproximadamente;0;0;0;0;0;0;0;0
aproximándose;0;0;0;0;0;0;0;0
aproximación;0;0;0;0;0;0;0;0
anexidades;0;0;0;0;0;0;0;0
delantal;0;0;0;0;0;0;0;0
apto;0;0;0;0;0;0;0;0
aptitud;0;0;0;0;0;0;0;0
agua;0;0;0;0;0;0;0;0
