,Palabras,frecuencia,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,enfado,anticipacion,asco,miedo,alegria,tristeza,sorpresa,confianza
31,pueblo,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,mundo,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,seguir,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,partido,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,historia,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,historia,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,dos,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,mejor,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,dignidad,65,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,65
40,vida,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,liquidar,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,trabajo,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,trabajo,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,familia,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,lado,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,dinero,51,1,1,0,0,1,0,1,1,51,51,0,0,51,0,51,51
47,personas,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,fin,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,violencia,48,1,0,0,1,0,1,0,0,48,0,0,48,0,48,0,0
50,claro,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,claro,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,pacto,47,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,47
53,pacto,47,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,47
54,equipo,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,equipo,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,equipo,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,equipo,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,equipo,46,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,46
59,propuesta,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,sociedad,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,ganar,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,encuesta,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,encuesta,43,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,43
64,encuesta,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,suerte,42,0,1,0,0,1,0,1,0,0,42,0,0,42,0,42,0
66,suerte,42,0,0,0,0,1,0,1,0,0,0,0,0,42,0,42,0
67,ver,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,poner,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,defendiendo,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,paz,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,paz,41,0,1,0,0,1,0,0,1,0,41,0,0,41,0,0,41
72,trabajando,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,comunidad,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,orgullo,39,0,0,0,0,1,0,0,0,0,0,0,0,39,0,0,0
75,voto,39,0,1,0,0,1,0,0,1,0,39,0,0,39,0,0,39
76,media,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,honor,37,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,37
78,clase,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,maduro,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,tierra,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,tierra,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,civil,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,civil,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,acuerdo,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,34
85,acuerdo,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,34
86,acuerdo,34,0,1,0,0,1,0,1,1,0,34,0,0,34,0,34,34
87,acuerdo,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,valores,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,34
89,valores,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,tesis,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,lugar,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,lugar,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,lugar,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,lugar,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,lugar,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,verdad,32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32
97,hablar,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,fuerte,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,fuerte,32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32
100,fuerte,32,0,0,1,0,0,0,0,0,0,0,32,0,0,0,0,0
101,pedir,32,0,1,0,0,0,0,0,0,0,32,0,0,0,0,0,0
102,grande,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,grande,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,caso,31,0,0,0,1,0,1,0,0,0,0,0,31,0,31,0,0
105,defensa,31,1,1,0,1,0,0,0,0,31,31,0,31,0,0,0,0
106,defensa,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31
107,mirar,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,empleo,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,ciudadano,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,odio,30,1,0,1,1,0,1,0,0,30,0,30,30,0,30,0,0
111,odio,30,1,0,1,1,0,1,0,0,30,0,30,30,0,30,0,0
112,valiente,30,0,0,0,1,0,0,0,0,0,0,0,30,0,0,0,0
113,valiente,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,judicial,30,0,1,0,0,0,0,0,1,0,30,0,0,0,0,0,30
115,judicial,30,0,1,0,0,0,0,0,1,0,30,0,0,0,0,0,30
116,mano,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,ayer,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,casa,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,casa,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,realidad,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,realidad,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,dado,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,crisis,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,problema,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,problema,29,0,0,0,1,0,1,0,0,0,0,0,29,0,29,0,0
126,momento,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,espacio,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,espacio,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,guerra,28,0,0,0,1,0,0,0,0,0,0,0,28,0,0,0,0
130,guerra,28,1,0,0,1,0,1,0,0,28,0,0,28,0,28,0,0
131,ejemplo,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,reforma,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,reforma,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,proteger,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,proteger,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,voz,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,confianza,28,0,0,0,1,1,0,0,1,0,0,0,28,28,0,0,28
138,confianza,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28
139,esfuerzo,28,1,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0
140,esfuerzo,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,esfuerzo,28,0,1,0,0,0,0,0,0,0,28,0,0,0,0,0,0
142,esfuerzo,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,esfuerzo,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,dejar,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,pasar,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,cara,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,cara,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,falta,27,1,0,1,1,0,0,0,0,27,0,27,27,0,0,0,0
149,falta,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,jefe,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,jefe,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,jefe,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,parte,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,parte,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,terrorismo,27,1,0,1,1,0,1,0,0,27,0,27,27,0,27,0,0
156,tiempo,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,juez,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,adelante,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,adelante,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,adelante,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,semana,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,sistema,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25
163,casado,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,casado,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,impuesto,25,0,0,1,0,0,0,0,0,0,0,25,0,0,0,0,0
166,impuesto,25,0,0,0,0,0,1,0,0,0,0,0,0,0,25,0,0
167,mes,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,talento,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,cultura,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,error,25,0,0,1,1,0,0,0,0,0,0,25,25,0,0,0,0
171,error,25,0,0,0,0,0,1,0,0,0,0,0,0,0,25,0,0
172,siglo,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,seguridad,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,solidaridad,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24
175,liberal,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,ciudad,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,ciudad,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,dedo,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,legislatura,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24
180,romper,24,1,0,0,1,0,1,1,0,24,0,0,24,0,24,24,0
181,aplicar,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,forma,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,importante,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24
184,ilegal,23,1,0,1,1,0,1,0,0,23,0,23,23,0,23,0,0
185,ilegal,23,1,0,1,1,0,1,0,0,23,0,23,23,0,23,0,0
186,ilegal,23,1,0,1,0,0,1,0,0,23,0,23,0,0,23,0,0
187,amenaza,23,1,0,0,1,0,0,0,0,23,0,0,23,0,0,0,0
188,amenaza,23,1,0,0,1,0,0,0,0,23,0,0,23,0,0,0,0
189,propaganda,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,final,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,final,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,oficial,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23
193,oficial,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23
194,oficial,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23
195,cumplir,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,cumplir,23,0,0,0,0,1,0,0,0,0,0,0,0,23,0,0,0
197,lucha,23,1,0,0,1,0,0,0,0,23,0,0,23,0,0,0,0
198,lucha,23,1,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0
199,lucha,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,lucha,23,1,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0
201,lucha,23,1,0,0,1,0,1,0,0,23,0,0,23,0,23,0,0
202,lucha,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,cambiar,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,cambiar,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,parlamento,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23
206,cosas,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,cosas,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,paternidad,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,discurso,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,votar,22,1,1,0,0,1,1,1,1,22,22,0,0,22,22,22,22
211,acoso,22,1,0,1,1,0,1,0,0,22,0,22,22,0,22,0,0
212,bandera,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,bandera,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,calle,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,calle,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,feliz,22,0,0,0,0,1,0,0,0,0,0,0,0,22,0,0,0
217,salir,22,0,1,0,0,0,1,0,0,0,22,0,0,0,22,0,0
218,salir,22,0,0,0,0,0,1,1,0,0,0,0,0,0,22,22,0
219,constitucional,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22
220,amarillos,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,hombre,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,editorial,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,orgulloso,21,0,1,0,0,1,0,0,1,0,21,0,0,21,0,0,21
224,luchar,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,luchar,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,general,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21
227,general,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,gobernar,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20
229,fraude,20,1,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
230,eliminar,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,viva,20,0,1,0,0,1,0,0,1,0,20,0,0,20,0,0,20
232,alternativa,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,hilo,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,hilo,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,contar,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20
236,tarde,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,tarde,20,0,0,0,0,0,1,0,0,0,0,0,0,0,20,0,0
238,recuperar,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,recuperar,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,recuperar,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,rectificar,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,debate,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,vale,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,vale,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,vale,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20
246,paso,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,paso,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,paso,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,paso,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,paso,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,paso,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,labor,20,0,1,0,0,1,0,1,1,0,20,0,0,20,0,20,20
253,igual,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,igual,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,libre,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,deporte,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,social,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,cuentas,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19
259,cuentas,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,palabras,19,1,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0
261,gente,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,gente,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,liberalismo,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,concurso,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,patrimonio,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,patrimonio,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19
267,patrimonio,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,favor,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,encuentro,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,noticias,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,cerca,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,cerca,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,cerca,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,llegar,18,0,1,0,0,0,0,0,0,0,18,0,0,0,0,0,0
275,delito,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,delito,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,fuerza,18,1,0,0,1,0,0,0,0,18,0,0,18,0,0,0,0
278,fuerza,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18
279,calidad,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,real,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,real,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18
282,real,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18
283,real,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,modelo,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,pone,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,evitar,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,evitar,18,0,0,0,1,0,0,0,0,0,0,0,18,0,0,0,0
288,evitar,18,0,0,0,1,0,0,0,0,0,0,0,18,0,0,0,0
289,evitar,18,1,0,0,0,0,1,0,0,18,0,0,0,0,18,0,0
290,evitar,18,0,0,0,1,0,0,0,0,0,0,0,18,0,0,0,0
291,guardias,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,batalla,17,1,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0
293,pasado,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,pasado,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,pasado,17,0,0,0,0,0,1,0,0,0,0,0,0,0,17,0,0
296,subir,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,lamentable,17,0,0,0,0,0,1,0,0,0,0,0,0,0,17,0,0
298,lamentable,17,0,0,0,0,0,1,0,0,0,0,0,0,0,17,0,0
299,abrazo,17,0,0,0,0,1,0,0,1,0,0,0,0,17,0,0,17
300,abrazo,17,0,1,0,0,1,0,1,1,0,17,0,0,17,0,17,17
301,abrazo,17,0,0,0,0,1,0,0,1,0,0,0,0,17,0,0,17
302,zapatero,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,zapatero,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,formar,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,grave,17,1,0,0,1,0,1,0,0,17,0,0,17,0,17,0,0
306,interino,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,impunidad,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,clave,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,clave,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,imagen,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,imagen,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,lujo,16,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0,0
313,atacar,16,1,0,0,1,0,0,1,0,16,0,0,16,0,0,16,0
314,peor,16,0,0,0,1,0,1,0,0,0,0,0,16,0,16,0,0
315,fiscal,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,fiscal,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,ministro,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,urgente,16,0,1,0,1,0,0,1,0,0,16,0,16,0,0,16,0
319,contrario,16,1,0,1,1,0,0,0,0,16,0,16,16,0,0,0,0
320,contrario,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,programa,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,programa,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323,victoria,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,victoria,15,0,1,0,0,1,0,0,1,0,15,0,0,15,0,0,15
325,intentar,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15
326,unir,15,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0
327,unir,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,palabra,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15
329,lengua,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,objetivo,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,objetivo,15,0,1,0,0,0,0,0,1,0,15,0,0,0,0,0,15
332,objetivo,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,manera,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334,oportunidad,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,0
335,oportunidad,15,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0
336,oportunidad,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,carta,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,carta,15,0,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0
339,conjunto,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,conjunto,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15
341,conjunto,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,cuenta,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15
343,cuenta,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344,cuenta,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
